"Protein names","Gene names","OIS_CM","OIS_F20","OIS_F8","Vector_CM","Vector_F20","Vector_F8"
"51","Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain","C1R",31.2506333333333,31.2643666666667,24.5715333333333,33.044,30.2255666666667,28.7528333333333
"52","Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain","C1S",31.6913666666667,31.5701666666667,24.3454666666667,33.0322333333333,30.2131333333333,27.8709333333333
"53","Calcium-binding protein 39","CAB39",24.2613,24.6545666666667,26.6982333333333,24.0439333333333,24.8293666666667,24.6367
"54","Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1","CACNA2D1",26.5760666666667,24.0842333333333,31.3889,24.6488666666667,27.6985666666667,29.3218333333333
"55","Calcium/calmodulin-dependent protein kinase type II subunit delta","CAMK2D",24.5728666666667,25.0394666666667,24.5753333333333,24.7651666666667,25.2551666666667,25.9995333333333
"56","Adenylyl cyclase-associated protein 1","CAP1",30.9532,24.6387333333333,30.1384333333333,28.7469666666667,24.9212666666667,29.1503333333333
"57","Calpain-1 catalytic subunit","CAPN1",24.1885666666667,25.1672,23.9931,24.1502666666667,24.566,26.0813
"58","Cysteine--tRNA ligase, cytoplasmic","CARS",23.7932,24.684,26.0580333333333,23.3478666666667,24.9163666666667,25.2915
"59","Catalase","CAT",24.297,26.2704666666667,23.8057333333333,24.2492,25.1043,25.6625
"60","Caveolin-1;Caveolin","CAV1",24.0644333333333,25.1931,27.1508,24.4577666666667,24.9143,29.0712333333333
"61","Carbonyl reductase [NADPH] 1","CBR1",26.8411333333333,24.3437333333333,27.0485,25.3359,25.7909666666667,26.2093666666667
"62","Collagen and calcium-binding EGF domain-containing protein 1","CCBE1",24.1748666666667,24.6872333333333,24.4809666666667,23.6109666666667,25.0686666666667,26.6960333333333
"63","Coiled-coil domain-containing protein 80","CCDC80",25.0335333333333,25.1379333333333,24.0055,28.7037333333333,25.0459666666667,27.8505333333333
"64","T-complex protein 1 subunit beta","CCT2",27.9692666666667,25.2677666666667,29.7526,27.6694666666667,27.2601333333333,27.7234666666667
"65","T-complex protein 1 subunit gamma","CCT3",26.0214333333333,27.221,29.7809666666667,25.8826333333333,26.6894666666667,28.3653666666667
"66","T-complex protein 1 subunit zeta","CCT6A",27.8733,24.0413,29.3721333333333,27.8934666666667,25.1901,28.2088666666667
"67","T-complex protein 1 subunit theta","CCT8",28.2145,26.5008,30.1221,26.8322333333333,27.4894333333333,28.5076
"68","CD109 antigen","CD109",25.0823333333333,24.5834666666667,25.7104333333333,24.5285333333333,25.8186333333333,24.9797
"69","Tetraspanin;CD151 antigen","CD151",27.2100666666667,27.4454,33.2903333333333,24.1843,28.2669,30.0728
"70","CD276 antigen","CD276",24.0303,24.6165333333333,28.5288666666667,24.1422333333333,25.7937,24.2583333333333
"71","CD44 antigen","CD44",32.8773,32.3566333333333,35.1665,31.1634,32.9606666666667,34.2092
"72","Membrane cofactor protein","CD46",24.4305333333333,25.7056,27.6997,24.3769,25.4403666666667,26.4883666666667
"73","Leukocyte surface antigen CD47","CD47",24.1868333333333,24.7312666666667,27.3992666666667,24.7709,25.0523666666667,25.3534333333333
"74","CD59 glycoprotein","CD59",31.4515,30.917,34.8205666666667,28.9521,31.6939,32.5878
"75","Tetraspanin;CD81 antigen","CD81",28.2685333333333,31.8012,32.1966,25.7352666666667,33.5992,31.3808666666667
"76","CD82 antigen","CD82",25.0733,25.3426666666667,29.5844,24.0107333333333,26.3646333333333,26.6976
"77","Tetraspanin;CD9 antigen","CD9",29.1733666666667,25.1768,33.4577,28.1827666666667,28.46,30.3629333333333
"78","CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta","CD97",23.8172666666667,24.5737333333333,28.3957666666667,23.8655333333333,24.7395,24.5466333333333
"79","CD99 antigen","CD99",24.0930333333333,23.8389333333333,31.0755,24.5600333333333,28.4431666666667,30.1197666666667
"80","Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed","CDC37",25.7900333333333,24.7902333333333,25.8548333333333,24.6215666666667,24.8216666666667,24.1861
"81","Serine/threonine-protein kinase MRCK beta","CDC42BPB",23.8643,25.3097333333333,27.1933333333333,24.3439,25.0056,26.5341
"82","CDC42 small effector protein 1","CDC42SE1",24.6475333333333,24.2062,25.9965,24.4711333333333,25.3648,24.0031333333333
"83","CUB domain-containing protein 1","CDCP1",25.8517,25.0970333333333,31.4920666666667,24.2794333333333,25.1658,24.8620333333333
"84","Cadherin-13","CDH13",29.0488666666667,27.8258333333333,32.6337,27.4111333333333,26.7640666666667,30.5401666666667
"85","Cadherin-6","CDH6",28.2639,24.8731666666667,28.1745,28.2598,25.0311333333333,26.6881
"86","Cyclin-dependent kinase 4","CDK4",24.3597666666667,25.5155333333333,26.2583,23.8689333333333,24.6757333333333,24.6341
"87","Cell migration-inducing and hyaluronan-binding protein","CEMIP",25.3952,25.9861666666667,24.4404,24.3225666666667,24.9082666666667,27.4270333333333
"88","Charged multivesicular body protein 1b","CHMP1B",23.8761666666667,25.9676333333333,24.0317,24.2803666666667,24.9325666666667,27.4112666666667
"89","Charged multivesicular body protein 2a","CHMP2A",24.7433,25.0897,28.4532666666667,24.3735,24.3184,25.0276333333333
"90","Cytoskeleton-associated protein 4","CKAP4",27.3700666666667,25.0254333333333,29.2088,26.3932666666667,27.7942666666667,30.3813666666667
"91","Claudin-11;Claudin","CLDN11",24.3338,24.5866333333333,24.3675333333333,24.2428,24.8315333333333,29.1381666666667
"92","Chloride intracellular channel protein 1","CLIC1",30.8664666666667,25.6347666666667,31.3474,28.8216,29.9678666666667,30.0323666666667
"93","Chloride intracellular channel protein 4","CLIC4",30.6789333333333,24.4507666666667,31.2096666666667,29.5925333333333,25.1781333333333,30.7438
"94","Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha","CLSTN1",31.3849666666667,27.3467666666667,23.9858333333333,30.8686,24.8674666666667,27.244
"95","Collagen alpha-1(XII) chain","COL12A1",34.5121333333333,32.1263,30.8609666666667,35.2122,30.0974333333333,32.6189666666667
"96","Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4","COL15A1",25.2115333333333,24.5647,23.8589333333333,27.2208666666667,24.9766,27.5507333333333
"97","Collagen alpha-1(I) chain","COL1A1",34.8376333333333,35.8127666666667,32.2593666666667,36.6909,35.5640666666667,34.0263666666667
"98","Collagen alpha-2(I) chain","COL1A2",34.4434333333333,34.843,31.439,37.2103666666667,34.6917666666667,33.4580666666667
"99","Collagen alpha-1(III) chain","COL3A1",31.8158666666667,31.1252333333333,24.0300666666667,34.5181333333333,30.2009,29.6436333333333
"100","Collagen alpha-1(VI) chain","COL6A1",35.943,36.2689666666667,38.5182333333333,35.5535,37.0537333333333,35.6095
"101","Collagen alpha-2(VI) chain","COL6A2",35.3043,35.8306666666667,38.3688333333333,34.4695,36.6774666666667,35.1850666666667
"102",NA,"COL6A3",24.7744,24.3984,30.7645666666667,24.0199333333333,24.9064666666667,24.3619666666667
"103","Collagen alpha-3(VI) chain","COL6A3",37.0311,38.1104333333333,40.2012333333333,36.1706,39.1421333333333,37.2606333333333
"104","Collagen alpha-1(VII) chain","COL7A1",28.2622333333333,24.3527666666667,28.8573666666667,25.4765,25.4093333333333,25.0009333333333
"105","Catechol O-methyltransferase","COMT",23.7804333333333,24.6956333333333,25.0637333333333,23.8827,24.7938333333333,25.3968666666667
"106","Coatomer subunit beta","COPB2",24.4062,25.0575666666667,25.5764333333333,24.9567,25.5804666666667,24.6362666666667
"107","Coronin-1B","CORO1B",27.8961666666667,25.4300666666667,27.8350333333333,25.5258,25.2792333333333,26.7636
"108","Coactosin-like protein","COTL1",29.1209,28.4488,29.3551666666667,29.3156333333333,24.5902333333333,28.4377666666667
"109","Copine-3","CPNE3",24.0107,24.8583333333333,27.9967,24.383,24.5380333333333,26.6935
"110","Cysteine-rich protein 2","CRIP2",27.9526666666667,25.0611666666667,29.3498666666667,25.0674,25.4129,28.068
"111","Cysteine-rich secretory protein LCCL domain-containing 2","CRISPLD2",27.7061333333333,26.1879666666667,26.9474333333333,24.1033,25.2905666666667,24.1946333333333
"112","Adapter molecule crk","CRK",25.717,25.5296333333333,27.9687666666667,24.5540333333333,24.8795666666667,24.6091333333333
"113","Citrate synthase;Citrate synthase, mitochondrial","CS",25.8508,25.1111333333333,24.5677333333333,24.8722666666667,24.8831666666667,26.2836
"114","Chondroitin sulfate proteoglycan 4","CSPG4",30.142,30.4653333333333,33.1751666666667,25.2587333333333,31.3541,32.2591
"115","Connective tissue growth factor","CTGF",31.4211333333333,28.0070333333333,28.6960333333333,28.4887666666667,25.9808,24.8997333333333
"116","Cathepsin Z","CTSZ",29.6688666666667,27.7274,23.6660666666667,27.8059333333333,26.0521666666667,27.3344
"117","Src substrate cortactin","CTTN",28.6534,25.1987333333333,27.9234666666667,28.0491666666667,24.3243333333333,24.5324
"118","Cullin-2","CUL2",24.7940333333333,24.1697333333333,25.9398,24.0768666666667,25.546,24.8843
"119","NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form","CYB5R3",24.4819,25.4942666666667,26.9215,24.4724666666667,25.2567666666667,24.8795
"120","Cytochrome b reductase 1","CYBRD1",25.0845333333333,25.416,23.8872333333333,24.4071333333333,24.5411333333333,28.0125
"121","Death-associated protein 1","DAP",28.7566333333333,27.8213666666667,27.6577,26.8434666666667,25.6822,26.5681666666667
"122","Drebrin","DBN1",28.2141666666667,24.9842333333333,27.3501666666667,26.9024333333333,25.4623666666667,26.5487333333333
"123","Drebrin-like protein","DBNL",26.2856333333333,25.1229333333333,26.9242,24.5542,24.6439,26.2825333333333
"124","Discoidin, CUB and LCCL domain-containing protein 2","DCBLD2",27.8937333333333,23.8082666666667,28.4930666666667,24.5435,24.6968333333333,24.8557333333333
"125","Decorin","DCN",30.4114,28.6649,24.1046666666667,36.4075666666667,30.0218333333333,31.1986666666667
"126","Dynactin subunit 1","DCTN1;DKFZp686E0752",26.5684666666667,25.8239,26.5973666666667,24.5644333333333,24.9457333333333,25.7121333333333
"127","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","DDAH1",24.2209,24.3962333333333,26.9868666666667,24.0504333333333,25.2678666666667,28.226
"128","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2","DDAH2",27.2392333333333,24.7988,27.8145333333333,26.7523,24.8945666666667,28.9495666666667
"129","Discoidin domain-containing receptor 2","DDR2",24.9425333333333,24.9965333333333,26.5534666666667,23.6837,25.0881,24.1642
"130","Probable ATP-dependent RNA helicase DDX17","DDX17",24.711,24.7707333333333,23.7089,23.8618666666667,24.1473666666667,25.4510666666667
"131","ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y","DDX3X;DDX3Y",23.9725,25.0591666666667,26.6832,24.537,25.1453,24.2538666666667
"132","Neuroplastin","DKFZp566H1924;NPTN",23.9915,24.6213333333333,28.3787,25.1508333333333,24.9845333333333,28.9373
"133","Delta-like protein 4","DLL4",25.1531333333333,24.8422,26.6827,23.7405333333333,24.1880333333333,25.0061
"134","Deleted in malignant brain tumors 1 protein","DMBT1",25.3356333333333,27.4505333333333,25.8981333333333,23.8412,27.4644666666667,26.9536
"135","DnaJ homolog subfamily A member 1","DNAJA1",24.8246666666667,24.6088333333333,27.3396666666667,24.4044,24.8770666666667,24.5404333333333
"136","DnaJ homolog subfamily A member 2","DNAJA2",23.5927,24.9550666666667,26.6318,23.7378666666667,25.0124,24.5500666666667
"137","DnaJ homolog subfamily C member 13","DNAJC13",24.2331333333333,25.4465333333333,25.1448333333333,24.3594666666667,25.5652333333333,24.1552
"138","Deoxyribonuclease-1-like 1","DNASE1L1",24.7503666666667,24.3938666666667,28.247,23.9050333333333,24.7410333333333,24.8390666666667
"139","Dedicator of cytokinesis protein 10","DOCK10",23.0956,24.6842,26.1765666666667,24.3137333333333,24.6647666666667,24.7209333333333
"140","Dipeptidyl peptidase 4;Dipeptidyl peptidase 4 membrane form;Dipeptidyl peptidase 4 soluble form","DPP4",24.4525666666667,24.3505,28.5678,25.2738666666667,27.9253,27.8652333333333
"141","Dihydropyrimidinase-related protein 3","DPYSL3",26.6353,25.6970333333333,26.8013333333333,26.4985333333333,25.2234666666667,27.8685
"142","Destrin","DSTN",29.4995,25.4134666666667,29.8462,27.8999333333333,24.9673,29.2202
"143","Cytoplasmic dynein 1 heavy chain 1","DYNC1H1",27.5404666666667,28.4999333333333,30.9698,25.7244,27.3529333333333,29.8003
"144","Cytoplasmic dynein 1 intermediate chain 2","DYNC1I2",27.2727333333333,26.4215333333333,27.7183333333333,25.8295,26.9436666666667,26.9926333333333
"145","Endothelin-converting enzyme 1","ECE1",24.7733666666667,24.5092666666667,29.5902,24.0200333333333,25.9799666666667,27.1860666666667
"146","Extracellular matrix protein 1","ECM1",34.1301333333333,32.5051,28.8697666666667,33.1973666666667,31.1111666666667,30.3680666666667
"147","Elongation factor 1-gamma","EEF1G",27.9336333333333,27.0251666666667,27.2149333333333,26.3929666666667,24.7905333333333,28.0803333333333
"148","EGF-containing fibulin-like extracellular matrix protein 1","EFEMP1",26.0416333333333,24.5377333333333,24.2221666666667,29.95,24.5707333333333,26.5494333333333
"149","Ephrin-B1","EFNB1",26.4273666666667,25.2673,27.4115666666667,24.0501666666667,25.0165333333333,26.6837666666667
"150","Epidermal growth factor receptor;Receptor protein-tyrosine kinase","EGFR",25.3607,25.4109,32.9179666666667,25.2087666666667,26.6289666666667,30.2341333333333
"151","EH domain-containing protein 2","EHD2",24.8331,24.4689666666667,28.5204,24.368,24.8004333333333,29.1176666666667
"152","Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein","EIF2S3;EIF2S3L",25.6689666666667,24.8318,26.6429333333333,23.5976333333333,25.0494666666667,24.5959666666667
"153","Eukaryotic translation initiation factor 3 subunit E","EIF3E",23.6698333333333,24.2801333333333,25.9170666666667,24.7513666666667,25.4208333333333,24.5717666666667
"154","Eukaryotic translation initiation factor 3 subunit I","EIF3I",27.1819333333333,25.2843333333333,27.5158666666667,24.9739333333333,24.7767333333333,24.0096333333333
"155","Eukaryotic initiation factor 4A-I","EIF4A1;EIF4A2",29.4859,25.7921666666667,29.6145,27.5847333333333,26.9979,28.5568
"156","Eukaryotic translation initiation factor 4B","EIF4B",25.6041,26.1185666666667,26.1591,24.1023,25.4189666666667,24.5076333333333
"157","Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-2","EIF5A;EIF5AL1;EIF5A2",29.0708666666667,26.336,27.5851333333333,29.0595333333333,27.5283666666667,28.6924666666667
"158","Protein phosphatase 1 regulatory subunit 29","ELFN2",24.5113666666667,24.8766333333333,26.1355333333333,24.3403666666667,24.9198333333333,24.8724666666667
"159","EMILIN-1","EMILIN1",31.3696,31.4812,32.7781,28.7708333333333,31.9716,30.7765666666667
"160","Endoglin","ENG",26.6508666666667,24.8313,31.8467,23.8017,26.2175666666667,27.8378
"161","Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase","ENPP1",24.6007,24.8904,28.6899333333333,24.1778333333333,24.363,24.8805666666667
"162",NA,"EPB41L2",24.3808333333333,24.7253,25.3268,24.8511333333333,24.8045,27.7093666666667
"163","Band 4.1-like protein 2","EPB41L2",26.2923,24.106,29.8739666666667,27.8031,26.7234333333333,32.0490666666667
"164","Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed","EPB41L3",24.7006,25.1773666666667,26.3143,24.6157333333333,24.6605,27.3139333333333
"165","Ephrin type-A receptor 2","EPHA2",23.4893666666667,25.6211,32.0484333333333,24.3804333333333,28.5899333333333,28.6214666666667
"166","Ephrin type-B receptor 2;Receptor protein-tyrosine kinase","EPHB2",25.7163333333333,25.3273333333333,30.3269333333333,24.2838333333333,24.9461,28.5602
"167","Receptor protein-tyrosine kinase;Ephrin type-B receptor 4","EPHB4",24.6978,24.6415333333333,27.1074,24.2364333333333,25.7590333333333,24.3591333333333
"168","Protein LAP2","ERBB2IP",24.3566666666667,24.9656666666667,26.1231666666667,24.8068333333333,25.2589666666667,24.8317333333333
"169","Estrogen receptor","ESR1",27.269,24.7896,30.0374,24.4021666666667,24.4770666666667,24.5313333333333
"170","Extended synaptotagmin-1","ESYT1",24.7743333333333,25.4673666666667,23.7704333333333,25.0611333333333,24.8650333333333,27.1214
"171","Exostosin-2","EXT2",25.7739,24.8854333333333,24.3059,27.0765666666667,25.3995333333333,24.6549666666667
"172","Proteinase-activated receptor 2;Proteinase-activated receptor 2, alternate cleaved 1;Proteinase-activated receptor 2, alternate cleaved 2","F2RL1",23.7446666666667,25.3504,25.2371,24.7551333333333,25.4801666666667,24.2015
"173","Tissue factor","F3",27.3517,29.0241,32.6893666666667,24.2783,30.7380666666667,30.7301666666667
"174","Fatty acid-binding protein, epidermal","FABP5",26.0538,24.5879666666667,24.1133666666667,26.8413,25.0346333333333,25.0567333333333
"175","Niban-like protein 1","FAM129B",27.5739666666667,25.0811,29.4046,26.2647,24.9242,27.1418666666667
"176","Protein FAM171A2","FAM171A2",24.1611333333333,25.0408333333333,24.2492333333333,23.8532666666667,25.0703333333333,26.2254666666667
"177","Protein FAM49B","FAM49B",24.6174666666667,25.9619,23.8344333333333,24.6288333333333,24.5051,26.1408
"178","Prolyl endopeptidase FAP;Antiplasmin-cleaving enzyme FAP, soluble form","FAP",24.6053,25.1349666666667,28.107,24.6675666666667,25.6324,25.5443666666667
"179","FERM, RhoGEF and pleckstrin domain-containing protein 1","FARP1",24.3427666666667,25.1599,30.1917,25.0438666666667,25.082,31.1392333333333
"180","Phenylalanine--tRNA ligase beta subunit","FARSB",23.7449666666667,24.6013666666667,25.9314666666667,24.3934333333333,24.9936666666667,24.4276
"181","Tumor necrosis factor receptor superfamily member 6","FAS",24.0869,25.3563,29.7050333333333,24.3255666666667,24.874,28.0144666666667
"182","Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase","FASN",27.7759333333333,28.3274666666667,30.0534666666667,24.5221333333333,24.8758666666667,27.9526
"183","Protocadherin Fat 1;Protocadherin Fat 1, nuclear form","FAT1",29.0819666666667,27.3946666666667,31.9386,26.2983666666667,27.0658,30.8762
"184","Protocadherin Fat 4","FAT4",24.2592333333333,25.2276,24.2531,24.3391333333333,24.5375333333333,26.6618
"185","Fibulin-1","FBLN1",28.4969,25.1569,30.2297333333333,31.0421333333333,24.8216666666667,28.6614333333333
"186","Fibrillin-1","FBN1",32.561,29.431,25.6417666666667,32.9957666666667,24.8475,26.7178333333333
"187","Fibrillin-2","FBN2",30.8189333333333,27.5161333333333,23.3295666666667,32.9758333333333,27.5850666666667,26.534
"188","Fermitin family homolog 2","FERMT2",24.1685,25.7683,25.9446333333333,24.1636333333333,25.1526666666667,26.8901333333333
"189","Four and a half LIM domains protein 2","FHL2",24.8381,24.2365666666667,27.7073,23.8885,24.8934333333333,28.5204
"190","Four and a half LIM domains protein 3","FHL3",24.6457333333333,24.7452666666667,25.6897,24.4138666666667,24.5513333333333,24.6020333333333
"191","Peptidyl-prolyl cis-trans isomerase FKBP10","FKBP10",26.487,24.6383,26.7884666666667,26.5593666666667,25.7064,24.8565
"192","Filamin-B","FLNB",27.7608666666667,24.7468666666667,24.0837666666667,27.5377333333333,24.6707,27.0108333333333
"193","Flotillin-1","FLOT1",24.2039666666667,24.4623666666667,27.3810666666667,24.789,25.0412666666667,29.5666
"194","Flotillin-2","FLOT2",24.1696333333333,24.3629,23.5011333333333,24.2733333333333,24.2261666666667,27.1767666666667
"195","Leucine-rich repeat transmembrane protein FLRT3","FLRT3",24.2725,24.8192,27.6451333333333,24.4858,25.0799333333333,24.695
"196","Vascular endothelial growth factor receptor 1","FLT1",29.4887333333333,25.9284666666667,27.7421333333333,23.8221666666667,25.0465333333333,24.2683333333333
