Protein names,Gene names,OIS_CM,OIS_F20,OIS_F8,Vector_CM,Vector_F20,Vector_F8
Calpain-1 catalytic subunit,CAPN1,24.18856666666667,25.167199999999998,23.9931,24.150266666666667,24.566000000000003,26.0813
"Cysteine--tRNA ligase, cytoplasmic",CARS,23.7932,24.683999999999997,26.05803333333333,23.347866666666665,24.916366666666665,25.2915
Catalase,CAT,24.296999999999997,26.270466666666664,23.805733333333336,24.2492,25.1043,25.662500000000005
Caveolin-1;Caveolin,CAV1,24.064433333333337,25.1931,27.1508,24.457766666666668,24.9143,29.07123333333333
Carbonyl reductase [NADPH] 1,CBR1,26.841133333333335,24.343733333333333,27.0485,25.3359,25.790966666666666,26.209366666666668
Collagen and calcium-binding EGF domain-containing protein 1,CCBE1,24.17486666666667,24.687233333333335,24.480966666666664,23.610966666666666,25.06866666666667,26.696033333333332
Coiled-coil domain-containing protein 80,CCDC80,25.033533333333338,25.137933333333333,24.0055,28.703733333333332,25.04596666666667,27.850533333333335
T-complex protein 1 subunit beta,CCT2,27.969266666666666,25.26776666666667,29.7526,27.669466666666665,27.260133333333332,27.723466666666667
T-complex protein 1 subunit gamma,CCT3,26.021433333333334,27.221000000000004,29.780966666666668,25.88263333333333,26.689466666666664,28.365366666666663
T-complex protein 1 subunit zeta,CCT6A,27.8733,24.041300000000003,29.372133333333334,27.893466666666665,25.1901,28.208866666666665
T-complex protein 1 subunit theta,CCT8,28.2145,26.500799999999998,30.1221,26.832233333333335,27.489433333333334,28.507599999999996
CD109 antigen,CD109,25.082333333333334,24.583466666666666,25.71043333333333,24.528533333333332,25.818633333333334,24.979699999999998
Tetraspanin;CD151 antigen,CD151,27.210066666666666,27.445400000000003,33.290333333333336,24.184299999999997,28.266900000000003,30.0728
CD276 antigen,CD276,24.0303,24.616533333333336,28.528866666666662,24.142233333333333,25.7937,24.258333333333336
CD44 antigen,CD44,32.8773,32.35663333333333,35.166500000000006,31.163399999999996,32.96066666666667,34.2092
Membrane cofactor protein,CD46,24.430533333333333,25.7056,27.699699999999996,24.376899999999996,25.440366666666666,26.488366666666668
Leukocyte surface antigen CD47,CD47,24.18683333333333,24.731266666666667,27.399266666666666,24.7709,25.052366666666668,25.35343333333333
CD59 glycoprotein,CD59,31.4515,30.916999999999998,34.820566666666664,28.9521,31.6939,32.5878
Tetraspanin;CD81 antigen,CD81,28.268533333333334,31.801200000000005,32.1966,25.735266666666664,33.5992,31.380866666666666
CD82 antigen,CD82,25.0733,25.34266666666667,29.5844,24.010733333333334,26.36463333333333,26.697599999999998
Tetraspanin;CD9 antigen,CD9,29.173366666666663,25.1768,33.457699999999996,28.182766666666666,28.459999999999997,30.36293333333333
CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,23.817266666666665,24.573733333333337,28.395766666666663,23.86553333333333,24.739500000000003,24.546633333333336
CD99 antigen,CD99,24.093033333333334,23.838933333333333,31.0755,24.560033333333333,28.443166666666666,30.119766666666667
"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,25.790033333333337,24.790233333333333,25.854833333333335,24.621566666666666,24.82166666666667,24.1861
Serine/threonine-protein kinase MRCK beta,CDC42BPB,23.8643,25.30973333333333,27.19333333333333,24.3439,25.0056,26.5341
CDC42 small effector protein 1,CDC42SE1,24.64753333333333,24.2062,25.996499999999997,24.47113333333333,25.364800000000002,24.003133333333334
CUB domain-containing protein 1,CDCP1,25.851699999999997,25.097033333333332,31.49206666666667,24.279433333333333,25.1658,24.862033333333333
Cadherin-13,CDH13,29.04886666666667,27.825833333333335,32.6337,27.411133333333336,26.76406666666667,30.540166666666664
Cadherin-6,CDH6,28.263900000000003,24.873166666666666,28.1745,28.259800000000002,25.031133333333333,26.688100000000002
Cyclin-dependent kinase 4,CDK4,24.35976666666667,25.515533333333334,26.258300000000002,23.868933333333334,24.67573333333333,24.6341
Cell migration-inducing and hyaluronan-binding protein,CEMIP,25.3952,25.986166666666666,24.4404,24.32256666666667,24.908266666666666,27.427033333333338
Charged multivesicular body protein 1b,CHMP1B,23.876166666666666,25.967633333333335,24.0317,24.280366666666666,24.932566666666663,27.411266666666666
Charged multivesicular body protein 2a,CHMP2A,24.7433,25.089699999999997,28.453266666666664,24.373500000000003,24.318399999999997,25.02763333333333
Cytoskeleton-associated protein 4,CKAP4,27.370066666666663,25.025433333333336,29.2088,26.393266666666666,27.79426666666667,30.381366666666665
Claudin-11;Claudin,CLDN11,24.3338,24.586633333333335,24.36753333333333,24.2428,24.83153333333333,29.138166666666667
Chloride intracellular channel protein 1,CLIC1,30.866466666666668,25.634766666666664,31.347400000000004,28.8216,29.967866666666666,30.03236666666667
Chloride intracellular channel protein 4,CLIC4,30.678933333333333,24.450766666666667,31.209666666666667,29.592533333333336,25.178133333333335,30.743800000000004
Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,CLSTN1,31.384966666666667,27.346766666666667,23.985833333333336,30.8686,24.86746666666667,27.244
Collagen alpha-1(XII) chain,COL12A1,34.51213333333334,32.1263,30.860966666666666,35.212199999999996,30.09743333333334,32.618966666666665
Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4,COL15A1,25.211533333333335,24.5647,23.858933333333336,27.220866666666666,24.9766,27.55073333333333
Collagen alpha-1(I) chain,COL1A1,34.837633333333336,35.81276666666667,32.259366666666665,36.6909,35.56406666666666,34.02636666666667
Collagen alpha-2(I) chain,COL1A2,34.44343333333333,34.842999999999996,31.438999999999997,37.210366666666665,34.691766666666666,33.45806666666667
Collagen alpha-1(III) chain,COL3A1,31.815866666666665,31.12523333333333,24.030066666666666,34.51813333333333,30.2009,29.64363333333333
Collagen alpha-1(VI) chain,COL6A1,35.943,36.268966666666664,38.518233333333335,35.5535,37.053733333333334,35.6095
Collagen alpha-2(VI) chain,COL6A2,35.3043,35.830666666666666,38.368833333333335,34.469500000000004,36.67746666666667,35.185066666666664
,COL6A3,24.7744,24.3984,30.764566666666667,24.01993333333333,24.90646666666667,24.361966666666664
Collagen alpha-3(VI) chain,COL6A3,37.0311,38.11043333333333,40.201233333333334,36.1706,39.142133333333334,37.26063333333334
Collagen alpha-1(VII) chain,COL7A1,28.26223333333333,24.352766666666668,28.857366666666667,25.4765,25.409333333333336,25.000933333333332
Catechol O-methyltransferase,COMT,23.780433333333335,24.695633333333333,25.063733333333335,23.8827,24.793833333333335,25.396866666666664
Coatomer subunit beta,COPB2,24.4062,25.057566666666663,25.576433333333338,24.9567,25.580466666666666,24.63626666666667
Coronin-1B,CORO1B,27.89616666666667,25.430066666666665,27.83503333333333,25.525800000000004,25.279233333333334,26.7636
Coactosin-like protein,COTL1,29.120900000000002,28.448800000000002,29.355166666666666,29.315633333333334,24.59023333333333,28.437766666666665
Copine-3,CPNE3,24.0107,24.85833333333333,27.9967,24.383,24.53803333333333,26.6935
Cysteine-rich protein 2,CRIP2,27.952666666666662,25.061166666666665,29.349866666666667,25.067400000000003,25.412900000000004,28.067999999999998
Cysteine-rich secretory protein LCCL domain-containing 2,CRISPLD2,27.70613333333333,26.187966666666668,26.947433333333336,24.1033,25.290566666666667,24.194633333333332
Adapter molecule crk,CRK,25.717,25.529633333333333,27.968766666666667,24.554033333333333,24.879566666666665,24.609133333333336
"Citrate synthase;Citrate synthase, mitochondrial",CS,25.850799999999996,25.11113333333334,24.567733333333333,24.872266666666672,24.883166666666668,26.283599999999996
Chondroitin sulfate proteoglycan 4,CSPG4,30.141999999999996,30.465333333333334,33.17516666666667,25.258733333333335,31.3541,32.2591
Connective tissue growth factor,CTGF,31.421133333333334,28.00703333333333,28.696033333333332,28.488766666666663,25.980800000000002,24.899733333333334
Cathepsin Z,CTSZ,29.668866666666663,27.727400000000003,23.666066666666666,27.805933333333332,26.052166666666665,27.334400000000002
Src substrate cortactin,CTTN,28.6534,25.198733333333333,27.923466666666666,28.049166666666668,24.324333333333332,24.5324
Cullin-2,CUL2,24.794033333333335,24.16973333333333,25.9398,24.076866666666664,25.546000000000003,24.8843
NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,CYB5R3,24.4819,25.494266666666665,26.921499999999998,24.472466666666666,25.256766666666667,24.879499999999997
Cytochrome b reductase 1,CYBRD1,25.084533333333336,25.416,23.88723333333333,24.407133333333334,24.541133333333335,28.0125
Death-associated protein 1,DAP,28.756633333333337,27.821366666666666,27.657700000000002,26.843466666666668,25.682199999999998,26.568166666666666
Drebrin,DBN1,28.21416666666667,24.984233333333332,27.350166666666667,26.902433333333335,25.462366666666668,26.548733333333335
Drebrin-like protein,DBNL,26.285633333333333,25.122933333333332,26.9242,24.554199999999998,24.643900000000002,26.282533333333333
"Discoidin, CUB and LCCL domain-containing protein 2",DCBLD2,27.893733333333333,23.80826666666667,28.493066666666667,24.543499999999998,24.69683333333333,24.855733333333333
Decorin,DCN,30.4114,28.664900000000003,24.104666666666663,36.40756666666667,30.021833333333337,31.198666666666668
Dynactin subunit 1,DCTN1;DKFZp686E0752,26.568466666666666,25.8239,26.59736666666667,24.56443333333333,24.945733333333333,25.712133333333338
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",DDAH1,24.2209,24.39623333333333,26.986866666666668,24.05043333333333,25.267866666666666,28.226
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,27.239233333333335,24.7988,27.814533333333333,26.7523,24.894566666666666,28.94956666666667
Discoidin domain-containing receptor 2,DDR2,24.942533333333333,24.996533333333332,26.553466666666665,23.683699999999998,25.088099999999997,24.164199999999997
Probable ATP-dependent RNA helicase DDX17,DDX17,24.711,24.77073333333333,23.7089,23.861866666666668,24.147366666666667,25.451066666666666
ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,23.9725,25.05916666666667,26.6832,24.537000000000003,25.145300000000002,24.253866666666667
Neuroplastin,DKFZp566H1924;NPTN,23.991500000000002,24.621333333333336,28.3787,25.15083333333334,24.98453333333333,28.937299999999997
Delta-like protein 4,DLL4,25.153133333333333,24.842200000000002,26.6827,23.74053333333333,24.188033333333333,25.0061
Deleted in malignant brain tumors 1 protein,DMBT1,25.335633333333334,27.45053333333333,25.898133333333334,23.8412,27.464466666666667,26.953599999999998
DnaJ homolog subfamily A member 1,DNAJA1,24.824666666666662,24.608833333333337,27.339666666666663,24.4044,24.877066666666668,24.54043333333333
DnaJ homolog subfamily A member 2,DNAJA2,23.592699999999997,24.955066666666667,26.6318,23.737866666666665,25.0124,24.550066666666666
DnaJ homolog subfamily C member 13,DNAJC13,24.23313333333333,25.446533333333335,25.144833333333334,24.359466666666666,25.565233333333328,24.155199999999997
Deoxyribonuclease-1-like 1,DNASE1L1,24.750366666666668,24.393866666666668,28.246999999999996,23.905033333333336,24.741033333333334,24.839066666666668
Dedicator of cytokinesis protein 10,DOCK10,23.0956,24.6842,26.17656666666667,24.313733333333335,24.66476666666667,24.720933333333335
Dipeptidyl peptidase 4;Dipeptidyl peptidase 4 membrane form;Dipeptidyl peptidase 4 soluble form,DPP4,24.452566666666666,24.3505,28.567800000000002,25.273866666666667,27.925299999999996,27.865233333333332
Dihydropyrimidinase-related protein 3,DPYSL3,26.6353,25.697033333333337,26.801333333333332,26.49853333333333,25.223466666666667,27.8685
Destrin,DSTN,29.4995,25.413466666666665,29.8462,27.899933333333333,24.967299999999998,29.220199999999995
Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,27.540466666666664,28.49993333333333,30.969799999999996,25.724400000000003,27.352933333333336,29.800300000000004
Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,27.272733333333335,26.421533333333333,27.718333333333334,25.8295,26.94366666666667,26.992633333333334
Endothelin-converting enzyme 1,ECE1,24.773366666666664,24.509266666666665,29.5902,24.020033333333334,25.979966666666666,27.186066666666665
Extracellular matrix protein 1,ECM1,34.13013333333333,32.5051,28.869766666666663,33.197366666666674,31.111166666666666,30.368066666666664
Elongation factor 1-gamma,EEF1G,27.933633333333336,27.025166666666664,27.214933333333335,26.392966666666666,24.790533333333332,28.080333333333332
EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,26.041633333333333,24.537733333333335,24.222166666666666,29.95,24.570733333333333,26.54943333333333
Ephrin-B1,EFNB1,26.427366666666668,25.267300000000002,27.41156666666667,24.05016666666667,25.01653333333333,26.683766666666667
Epidermal growth factor receptor;Receptor protein-tyrosine kinase,EGFR,25.360699999999998,25.410899999999998,32.917966666666665,25.208766666666666,26.628966666666667,30.234133333333336
EH domain-containing protein 2,EHD2,24.8331,24.468966666666663,28.5204,24.368,24.800433333333334,29.117666666666665
Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,EIF2S3;EIF2S3L,25.668966666666666,24.8318,26.642933333333332,23.597633333333334,25.04946666666667,24.595966666666666
Eukaryotic translation initiation factor 3 subunit E,EIF3E,23.669833333333333,24.280133333333335,25.917066666666667,24.751366666666666,25.420833333333334,24.571766666666665
Eukaryotic translation initiation factor 3 subunit I,EIF3I,27.181933333333333,25.284333333333333,27.515866666666668,24.97393333333333,24.776733333333336,24.00963333333333
Eukaryotic initiation factor 4A-I,EIF4A1;EIF4A2,29.485899999999997,25.792166666666663,29.614500000000003,27.584733333333332,26.997899999999998,28.5568
Eukaryotic translation initiation factor 4B,EIF4B,25.6041,26.118566666666666,26.1591,24.102300000000003,25.418966666666666,24.507633333333334
Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-2,EIF5A;EIF5AL1;EIF5A2,29.070866666666664,26.336000000000002,27.58513333333333,29.059533333333334,27.528366666666667,28.692466666666665
Protein phosphatase 1 regulatory subunit 29,ELFN2,24.511366666666664,24.87663333333333,26.13553333333333,24.340366666666668,24.919833333333333,24.872466666666668
EMILIN-1,EMILIN1,31.369600000000002,31.4812,32.7781,28.770833333333332,31.9716,30.776566666666668
Endoglin,ENG,26.650866666666662,24.8313,31.8467,23.8017,26.217566666666666,27.837799999999998
Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase,ENPP1,24.600700000000003,24.8904,28.689933333333332,24.177833333333336,24.363,24.880566666666667
,EPB41L2,24.38083333333333,24.7253,25.326800000000002,24.851133333333333,24.8045,27.709366666666664
Band 4.1-like protein 2,EPB41L2,26.2923,24.105999999999998,29.873966666666664,27.8031,26.723433333333332,32.04906666666667
"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,24.700599999999998,25.177366666666668,26.314300000000003,24.615733333333335,24.6605,27.313933333333335
Ephrin type-A receptor 2,EPHA2,23.48936666666667,25.6211,32.04843333333333,24.380433333333333,28.589933333333335,28.621466666666667
Ephrin type-B receptor 2;Receptor protein-tyrosine kinase,EPHB2,25.716333333333335,25.327333333333332,30.326933333333333,24.283833333333334,24.9461,28.5602
Receptor protein-tyrosine kinase;Ephrin type-B receptor 4,EPHB4,24.6978,24.64153333333333,27.1074,24.236433333333334,25.759033333333335,24.359133333333332
Protein LAP2,ERBB2IP,24.35666666666667,24.965666666666664,26.123166666666666,24.806833333333334,25.25896666666667,24.831733333333332
Estrogen receptor,ESR1,27.269000000000002,24.789599999999997,30.0374,24.40216666666667,24.477066666666662,24.531333333333333
Extended synaptotagmin-1,ESYT1,24.77433333333333,25.467366666666663,23.770433333333333,25.061133333333334,24.865033333333333,27.121400000000005
Exostosin-2,EXT2,25.773899999999998,24.885433333333335,24.305900000000005,27.07656666666667,25.399533333333334,24.654966666666667
"Proteinase-activated receptor 2;Proteinase-activated receptor 2, alternate cleaved 1;Proteinase-activated receptor 2, alternate cleaved 2",F2RL1,23.74466666666667,25.350399999999997,25.237099999999998,24.755133333333333,25.480166666666666,24.2015
Tissue factor,F3,27.351699999999997,29.0241,32.68936666666667,24.2783,30.73806666666667,30.730166666666666
"Fatty acid-binding protein, epidermal",FABP5,26.0538,24.58796666666667,24.113366666666664,26.8413,25.034633333333332,25.05673333333333
Niban-like protein 1,FAM129B,27.573966666666667,25.081100000000003,29.4046,26.2647,24.9242,27.14186666666667
Protein FAM171A2,FAM171A2,24.16113333333333,25.040833333333335,24.249233333333336,23.853266666666666,25.070333333333334,26.225466666666666
Protein FAM49B,FAM49B,24.61746666666667,25.9619,23.834433333333333,24.628833333333333,24.5051,26.1408
"Prolyl endopeptidase FAP;Antiplasmin-cleaving enzyme FAP, soluble form",FAP,24.6053,25.134966666666667,28.107,24.66756666666667,25.6324,25.544366666666665
"FERM, RhoGEF and pleckstrin domain-containing protein 1",FARP1,24.342766666666666,25.159900000000004,30.191699999999997,25.043866666666663,25.081999999999997,31.139233333333333
Phenylalanine--tRNA ligase beta subunit,FARSB,23.74496666666667,24.601366666666667,25.931466666666665,24.39343333333333,24.99366666666667,24.4276
Tumor necrosis factor receptor superfamily member 6,FAS,24.0869,25.3563,29.705033333333333,24.325566666666663,24.874,28.014466666666667
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,27.77593333333333,28.327466666666666,30.05346666666667,24.522133333333333,24.875866666666667,27.9526
"Protocadherin Fat 1;Protocadherin Fat 1, nuclear form",FAT1,29.08196666666667,27.394666666666666,31.938599999999997,26.298366666666666,27.0658,30.8762
Protocadherin Fat 4,FAT4,24.25923333333333,25.2276,24.2531,24.339133333333336,24.537533333333332,26.6618
Fibulin-1,FBLN1,28.4969,25.156900000000004,30.229733333333332,31.042133333333336,24.82166666666667,28.661433333333335
Fibrillin-1,FBN1,32.561,29.431,25.64176666666667,32.99576666666667,24.8475,26.717833333333335
Fibrillin-2,FBN2,30.818933333333334,27.516133333333332,23.329566666666665,32.975833333333334,27.585066666666666,26.534000000000002
Fermitin family homolog 2,FERMT2,24.168500000000005,25.7683,25.944633333333332,24.163633333333333,25.152666666666665,26.890133333333335
Four and a half LIM domains protein 2,FHL2,24.838099999999997,24.236566666666665,27.7073,23.888500000000004,24.89343333333333,28.5204
Four and a half LIM domains protein 3,FHL3,24.645733333333336,24.745266666666666,25.6897,24.413866666666667,24.551333333333332,24.602033333333335
Peptidyl-prolyl cis-trans isomerase FKBP10,FKBP10,26.487,24.638299999999997,26.788466666666665,26.559366666666666,25.706400000000002,24.8565
Filamin-B,FLNB,27.76086666666667,24.746866666666666,24.083766666666666,27.537733333333332,24.6707,27.010833333333334
Flotillin-1,FLOT1,24.203966666666663,24.462366666666668,27.38106666666667,24.789,25.04126666666667,29.566599999999998
Flotillin-2,FLOT2,24.169633333333334,24.3629,23.501133333333332,24.27333333333333,24.226166666666668,27.176766666666666
Leucine-rich repeat transmembrane protein FLRT3,FLRT3,24.272499999999997,24.8192,27.645133333333334,24.4858,25.079933333333333,24.695000000000004
Vascular endothelial growth factor receptor 1,FLT1,29.488733333333332,25.92846666666667,27.74213333333333,23.822166666666664,25.046533333333333,24.268333333333334
Formin-like protein 3,FMNL3,24.459366666666668,25.027866666666668,26.524133333333335,24.30413333333333,25.2479,24.493433333333332
Ketosamine-3-kinase,FN3KRP,23.39136666666667,24.646533333333334,26.410899999999998,23.627,24.856333333333335,23.99993333333333
